Firm,year,city,Age,Roa,Lev,Cash,Growth,Mshrrat,Shrholder1,Share_indep,Capital,Labor,Bigdata,Post,Gdpt,Popt,Secondt,Waget,Edut,Firm_numt,Thirdt,Indus,Policy_year
881,2020,温州市,2.8903718,.046266202,.33019099,.24141416,.548796,39.8908,16.32,.33330002,21.484776,8.2098522,0,0,189.10545,73.294456,576.72998,115.88395,10.42148,98.990379,488.06998,C18,0
1607,2016,温州市,2.0794415,.059089407,.243246,.024459349,.510472,18.864401,35.639999,.33330002,18.523558,6.8585649,0,0,120.33983,46.64193,367.01001,73.744331,6.6318507,62.993877,310.59,C35,0
2492,2010,上海市,2.8903718,.094217956,.20733701,.12123446,.99131298,.00019999999,33.040001,.33330002,20.043373,7.0639038,1,0,18.961025,7.2488594,42.049999,11.182689,3.6511629,9.7222052,57.279999,C15,2016
382,2021,北京市,3.0910425,.056561496,.66594797,.1021909,-.048801001,.031800002,50.450001,.55559999,24.781578,9.7895346,1,1,225.1828,85.588058,288.12,133.11099,55.127487,106.0452,901.32001,C31,2016
2624,2020,杭州市,3.1780539,.026224459,.199861,.0077255042,.59977198,.00019999999,43.441002,.33330002,18.922735,7.8383431,0,0,196.91481,71.842857,525.91003,118.744,69.406212,101.7134,535.58997,C39,0
716,2011,杭州市,2.3025851,.069229476,.136766,.06743516,.16845199,16.4266,41.09,.33330002,17.336046,6.2595816,0,0,35.802692,13.062338,95.620003,21.589819,12.619311,18.493345,97.379997,C38,0
882,2017,上海市,2.5649493,.02872353,.37826899,.048725463,.301525,.61809999,24.35,.57139999,20.253834,7.6596432,1,1,151.6882,57.990875,336.39999,89.46151,29.209303,77.777641,458.23999,C22,2016
1152,2018,佛山市,2.9957323,.083056949,.415685,.063109621,.070183001,64.792,31.1,.33330002,19.872263,8.1438084,1,1,160.65019,53.204483,564.12,94.68792,9.6275167,80.522064,319.05002,C30,2016
882,2020,上海市,2.7725887,.0048816795,.29211599,.046895664,.18577,.59869999,22.27,.33330002,20.236712,7.4776044,1,1,208.57127,79.737457,462.54999,123.00957,40.162792,106.94426,630.07996,C22,2016
196,2014,石嘴山市,2.8903718,.016884761,.106284,.15659884,.166963,0,51.25,.33330002,21.640682,7.8489337,0,0,74.54718,23.20751,313.20001,52.201591,4.3263836,28.585138,156.64999,C26,0
2223,2017,郑州市,2.9444389,.0026237629,.46291,.0082506817,.224032,0,23.08,.33330002,20.230904,7.4235682,1,1,140.11649,52.831551,449.35999,83.180054,53.94891,63.267097,325.92001,C27,2016
40,2013,深圳市,2.9444389,.031313322,.53219998,.060219716,.288663,.1373,9.0900002,.42860001,19.953087,7.640604,1,0,73.511726,22.131977,188.84,43.31535,10.36272,36.071388,210.88,C33,2016
1006,2018,嘉兴市,2.3978953,.066557504,.209433,-.052012056,.040431,65.987297,35.830002,.42860001,18.26693,6.9196839,0,0,152.55984,52.476379,524.16003,94.500481,13.79271,80.074219,326.16,C41,0
1593,2019,长春市,3.2188759,.13231963,.15881699,.14115305,.156013,5.7154999,53.799999,.42860001,19.458153,7.5416832,0,0,173.20778,66.302879,516.59998,104.83497,48.193283,73.815018,407.40002,C35,0
2825,2017,苏州市,3.2188759,.026908904,.340422,.00023187909,.044961002,46.3699,20.75,.375,20.040134,7.9146175,0,0,146.7235,51.635296,455.44,85.815613,22.299408,76.106049,331.04001,C34,0
